opt,seed,final_loss,test_accuracy,n_stagnation_episodes,total_stagnant_steps,longest_episode,hp_lr,hp_amp,hp_iter_p,hp_n_p
sgd,0,0.10809440910816193,0.9700000286102295,0,0,0,0.05,,,
sgd,1,0.09252796322107315,0.9350000023841858,0,0,0,0.05,,,
sgd,2,0.1166924312710762,0.9649999737739563,0,0,0,0.05,,,
sgd,3,0.09018871188163757,0.9750000238418579,0,0,0,0.05,,,
sgd,4,0.07536846399307251,0.9850000143051147,0,0,0,0.05,,,
adam,0,0.06914187222719193,0.9850000143051147,0,0,0,0.01,,,
adam,1,0.054354410618543625,0.9599999785423279,0,0,0,0.01,,,
adam,2,0.05471911281347275,0.9850000143051147,0,0,0,0.01,,,
adam,3,0.03502948209643364,0.9800000190734863,0,0,0,0.01,,,
adam,4,0.04732906445860863,0.9750000238418579,0,0,0,0.01,,,
pgd,0,0.10299336165189743,0.9700000286102295,0,0,0,0.05,0.05,50.0,
pgd,1,0.0891498550772667,0.9399999976158142,0,0,0,0.05,0.05,50.0,
pgd,2,0.10041743516921997,0.9750000238418579,0,0,0,0.05,0.05,50.0,
pgd,3,0.07958678156137466,0.9800000190734863,0,0,0,0.05,0.05,50.0,
pgd,4,0.07203400880098343,0.9850000143051147,0,0,0,0.05,0.05,50.0,
rpgd,0,0.10672757029533386,0.9700000286102295,0,0,0,0.05,0.05,50.0,10.0
rpgd,1,0.09216362237930298,0.9350000023841858,0,0,0,0.05,0.05,50.0,10.0
rpgd,2,0.11327924579381943,0.9700000286102295,0,0,0,0.05,0.05,50.0,10.0
rpgd,3,0.09014838933944702,0.9750000238418579,0,0,0,0.05,0.05,50.0,10.0
rpgd,4,0.07513032108545303,0.9850000143051147,0,0,0,0.05,0.05,50.0,10.0
spgd,0,0.09912701696157455,0.9700000286102295,0,0,0,0.05,0.05,50.0,10.0
spgd,1,0.08597078174352646,0.9449999928474426,0,0,0,0.05,0.05,50.0,10.0
spgd,2,0.11234168708324432,0.9700000286102295,0,0,0,0.05,0.05,50.0,10.0
spgd,3,0.08274558186531067,0.9800000190734863,0,0,0,0.05,0.05,50.0,10.0
spgd,4,0.07074977457523346,0.9850000143051147,0,0,0,0.05,0.05,50.0,10.0
