dataset,opt,seed,n_classes,n_features,n_train,final_loss,test_accuracy,n_stagnation_episodes,total_stagnant_steps,longest_episode,hp_lr,hp_amp,hp_iter_p,hp_n_p
credit-g,sgd,0,2,61,800,0.5975871086120605,0.699999988079071,0,0,0,0.01,,,
credit-g,sgd,1,2,61,800,0.5948976278305054,0.699999988079071,0,0,0,0.01,,,
credit-g,sgd,2,2,61,800,0.5911687016487122,0.699999988079071,0,0,0,0.01,,,
credit-g,adam,0,2,61,800,2.2123271264717914e-05,0.7300000190734863,1,622,622,0.001,,,
credit-g,adam,1,2,61,800,1.2928733667649794e-05,0.7149999737739563,4,651,644,0.001,,,
credit-g,adam,2,2,61,800,6.815474989707582e-06,0.6800000071525574,1,641,641,0.001,,,
credit-g,pgd,0,2,61,800,0.5252529382705688,0.7200000286102295,0,0,0,0.01,0.05,50.0,
credit-g,pgd,1,2,61,800,0.5110837817192078,0.7549999952316284,0,0,0,0.01,0.05,50.0,
credit-g,pgd,2,2,61,800,0.4690522849559784,0.7149999737739563,0,0,0,0.01,0.05,50.0,
credit-g,rpgd,0,2,61,800,0.5405267477035522,0.7300000190734863,0,0,0,0.01,0.05,50.0,10.0
credit-g,rpgd,1,2,61,800,0.5624921321868896,0.699999988079071,0,0,0,0.01,0.05,50.0,10.0
credit-g,rpgd,2,2,61,800,0.572615385055542,0.699999988079071,0,0,0,0.01,0.05,50.0,10.0
credit-g,spgd,0,2,61,800,0.48775023221969604,0.7549999952316284,0,0,0,0.01,0.05,50.0,10.0
credit-g,spgd,1,2,61,800,0.4772818684577942,0.7699999809265137,0,0,0,0.01,0.05,50.0,10.0
credit-g,spgd,2,2,61,800,0.4418972432613373,0.7300000190734863,0,0,0,0.01,0.05,50.0,10.0
kc1,sgd,0,2,21,1687,0.35401496291160583,0.850710928440094,0,0,0,0.01,,,
kc1,sgd,1,2,21,1687,0.353114515542984,0.8530805706977844,0,0,0,0.01,,,
kc1,sgd,2,2,21,1687,0.35251542925834656,0.850710928440094,0,0,0,0.01,,,
kc1,adam,0,2,21,1687,0.07196320593357086,0.8459715843200684,0,0,0,0.001,,,
kc1,adam,1,2,21,1687,0.07293028384447098,0.8601895570755005,0,0,0,0.001,,,
kc1,adam,2,2,21,1687,0.057717759162187576,0.8341231942176819,0,0,0,0.001,,,
kc1,pgd,0,2,21,1687,0.3452203571796417,0.8601895570755005,0,0,0,0.01,0.05,50.0,
kc1,pgd,1,2,21,1687,0.34970951080322266,0.8554502129554749,0,0,0,0.01,0.05,50.0,
kc1,pgd,2,2,21,1687,0.3518999218940735,0.8625592589378357,0,0,0,0.01,0.05,50.0,
kc1,rpgd,0,2,21,1687,0.34982389211654663,0.8554502129554749,0,0,0,0.01,0.05,50.0,10.0
kc1,rpgd,1,2,21,1687,0.3522990942001343,0.8530805706977844,0,0,0,0.01,0.05,50.0,10.0
kc1,rpgd,2,2,21,1687,0.34792348742485046,0.850710928440094,0,0,0,0.01,0.05,50.0,10.0
kc1,spgd,0,2,21,1687,0.3477103114128113,0.8601895570755005,0,0,0,0.01,0.05,50.0,10.0
kc1,spgd,1,2,21,1687,0.34958013892173767,0.8554502129554749,0,0,0,0.01,0.05,50.0,10.0
kc1,spgd,2,2,21,1687,0.3422849476337433,0.8530805706977844,0,0,0,0.01,0.05,50.0,10.0
spambase,sgd,0,2,57,3680,0.25662723183631897,0.9250814318656921,0,0,0,0.01,,,
spambase,sgd,1,2,57,3680,0.2528570294380188,0.9261671900749207,0,0,0,0.01,,,
spambase,sgd,2,2,57,3680,0.23085486888885498,0.9207383394241333,0,0,0,0.01,,,
spambase,adam,0,2,57,3680,0.005870096385478973,0.9315961003303528,0,0,0,0.001,,,
spambase,adam,1,2,57,3680,0.007743221241980791,0.9359391927719116,0,0,0,0.001,,,
spambase,adam,2,2,57,3680,0.006585938390344381,0.9457111954689026,0,0,0,0.001,,,
spambase,pgd,0,2,57,3680,0.23295852541923523,0.9239956736564636,0,0,0,0.01,0.05,50.0,
spambase,pgd,1,2,57,3680,0.24988877773284912,0.9229098558425903,0,0,0,0.01,0.05,50.0,
spambase,pgd,2,2,57,3680,0.22713910043239594,0.9131379127502441,0,0,0,0.01,0.05,50.0,
spambase,rpgd,0,2,57,3680,0.2327970564365387,0.929424524307251,0,0,0,0.01,0.05,50.0,10.0
spambase,rpgd,1,2,57,3680,0.21923841536045074,0.9305103421211243,0,0,0,0.01,0.05,50.0,10.0
spambase,rpgd,2,2,57,3680,0.2121482491493225,0.9229098558425903,0,0,0,0.01,0.05,50.0,10.0
spambase,spgd,0,2,57,3680,0.21263253688812256,0.9370249509811401,0,0,0,0.01,0.05,50.0,10.0
spambase,spgd,1,2,57,3680,0.20452368259429932,0.929424524307251,0,0,0,0.01,0.05,50.0,10.0
spambase,spgd,2,2,57,3680,0.20070762932300568,0.9239956736564636,0,0,0,0.01,0.05,50.0,10.0
segment,sgd,0,7,19,1848,0.8354447484016418,0.7575757503509521,0,0,0,0.01,,,
segment,sgd,1,7,19,1848,0.7800952792167664,0.7489177584648132,0,0,0,0.01,,,
segment,sgd,2,7,19,1848,0.8691253066062927,0.7056276798248291,0,0,0,0.01,,,
segment,adam,0,7,19,1848,0.0021172910928726196,0.976190447807312,0,0,0,0.001,,,
segment,adam,1,7,19,1848,0.0050674197264015675,0.976190447807312,0,0,0,0.001,,,
segment,adam,2,7,19,1848,0.0020968641620129347,0.976190447807312,0,0,0,0.001,,,
segment,pgd,0,7,19,1848,0.40164485573768616,0.887445867061615,0,0,0,0.01,0.05,50.0,
segment,pgd,1,7,19,1848,0.46481892466545105,0.8571428656578064,0,0,0,0.01,0.05,50.0,
segment,pgd,2,7,19,1848,0.4982585906982422,0.887445867061615,0,0,0,0.01,0.05,50.0,
segment,rpgd,0,7,19,1848,0.7331877946853638,0.7943723201751709,0,0,0,0.01,0.05,50.0,10.0
segment,rpgd,1,7,19,1848,0.6691559553146362,0.8290043473243713,0,0,0,0.01,0.05,50.0,10.0
segment,rpgd,2,7,19,1848,0.8152889609336853,0.7662337422370911,0,0,0,0.01,0.05,50.0,10.0
segment,spgd,0,7,19,1848,0.48670244216918945,0.887445867061615,0,0,0,0.01,0.05,50.0,10.0
segment,spgd,1,7,19,1848,0.4224421977996826,0.8961039185523987,0,0,0,0.01,0.05,50.0,10.0
segment,spgd,2,7,19,1848,0.5769624710083008,0.8549783825874329,0,0,0,0.01,0.05,50.0,10.0
vehicle,sgd,0,4,18,676,0.8595779538154602,0.6294117569923401,0,0,0,0.01,,,
vehicle,sgd,1,4,18,676,1.1082639694213867,0.48235294222831726,0,0,0,0.01,,,
vehicle,sgd,2,4,18,676,1.0335090160369873,0.5647059082984924,0,0,0,0.01,,,
vehicle,adam,0,4,18,676,0.00034318206598982215,0.841176450252533,0,0,0,0.001,,,
vehicle,adam,1,4,18,676,0.0001850401022238657,0.7941176295280457,7,103,86,0.001,,,
vehicle,adam,2,4,18,676,0.00030637814779765904,0.8235294222831726,0,0,0,0.001,,,
vehicle,pgd,0,4,18,676,0.5314071774482727,0.7058823704719543,0,0,0,0.01,0.05,50.0,
vehicle,pgd,1,4,18,676,0.6703529357910156,0.6352941393852234,0,0,0,0.01,0.05,50.0,
vehicle,pgd,2,4,18,676,0.6509425044059753,0.6941176652908325,0,0,0,0.01,0.05,50.0,
vehicle,rpgd,0,4,18,676,0.7147542238235474,0.6705882549285889,0,0,0,0.01,0.05,50.0,10.0
vehicle,rpgd,1,4,18,676,1.067351222038269,0.5176470875740051,0,0,0,0.01,0.05,50.0,10.0
vehicle,rpgd,2,4,18,676,1.0335090160369873,0.5647059082984924,0,0,0,0.01,0.05,50.0,10.0
vehicle,spgd,0,4,18,676,0.5882831811904907,0.7117646932601929,0,0,0,0.01,0.05,50.0,10.0
vehicle,spgd,1,4,18,676,0.5363692045211792,0.7117646932601929,0,0,0,0.01,0.05,50.0,10.0
vehicle,spgd,2,4,18,676,0.6068488359451294,0.7235293984413147,0,0,0,0.01,0.05,50.0,10.0
