method,seed,loss_init,target,escape_step
adam,0,1.2692110538482666,1.2057505011558531,30
adam,1,1.2667417526245115,1.203404664993286,30
adam,2,1.2674239873886108,1.2040527880191803,60
rpgd,0,1.2693010568618774,1.2058360040187834,330
rpgd,1,1.2668359279632568,1.203494131565094,360
rpgd,2,1.2675127983093262,1.2041371583938598,390
sgd,0,1.2693010568618774,1.2058360040187834,360
sgd,1,1.2668359279632568,1.203494131565094,360
sgd,2,1.2675127983093262,1.2041371583938598,390
spgd,0,1.2693010568618774,1.2058360040187834,300
spgd,1,1.2668359279632568,1.203494131565094,330
spgd,2,1.2675127983093262,1.2041371583938598,330
