method,seed,wall_sec,final_train_loss,final_test_rmse,final_grad_norm,n_perturbations,n_accepted,n_candidate_evals
sgd,0,2.6010406017303467,0.6578437089920044,0.9571301937103271,0.002333948388695717,,,
adam,0,2.848647117614746,0.5959991812705994,0.9611729979515076,0.00018727983115240932,,,
rpgd,0,4.225915908813477,0.65067058801651,0.9468229413032532,0.001972371945157647,299.0,30.0,2691.0
spgd,0,4.140347957611084,0.644145667552948,0.9497478604316711,0.001903855474665761,299.0,97.0,2691.0
sgd,1,2.4148216247558594,0.6474098563194275,0.9467529654502869,0.0019785868935287,,,
adam,1,2.7475523948669434,0.5980930328369141,0.9670935869216919,0.00015409522166009992,,,
rpgd,1,4.087218284606934,0.647974967956543,0.9491094946861267,0.0019454790744930506,299.0,20.0,2691.0
spgd,1,4.202526330947876,0.6437582969665527,0.9455944299697876,0.0019304432207718492,299.0,87.0,2691.0
sgd,2,2.4224042892456055,0.6447772979736328,0.9441571831703186,0.0020496691577136517,,,
adam,2,2.7502834796905518,0.5951669812202454,0.9620696902275085,7.822379848221317e-05,,,
rpgd,2,4.137450456619263,0.6480607390403748,0.9456235766410828,0.0020666837226599455,299.0,28.0,2691.0
spgd,2,4.16056752204895,0.6517521142959595,0.9471559524536133,0.0020342606585472822,299.0,88.0,2691.0
