method,seed,step,train_loss,test_rmse,grad_norm
sgd,0,1,1.2693010568618774,1.121812343597412,0.00024409159959759563
sgd,0,30,1.269283652305603,1.121812343597412,0.00024917334667406976
sgd,0,60,1.2692630290985107,1.1218117475509644,0.00027768060681410134
sgd,0,90,1.269234538078308,1.1218090057373047,0.00034172754385508597
sgd,0,120,1.2691864967346191,1.1218000650405884,0.0004648301692213863
sgd,0,150,1.2690883874893188,1.121774435043335,0.0006873898091726005
sgd,0,180,1.2688593864440918,1.1217014789581299,0.0010765345068648458
sgd,0,210,1.2682745456695557,1.1214953660964966,0.0017434356268495321
sgd,0,240,1.266710638999939,1.1209152936935425,0.0028678043745458126
sgd,0,270,1.2624722719192505,1.1193021535873413,0.004712618887424469
sgd,0,300,1.2513107061386108,1.1149981021881104,0.0075355651788413525
sgd,0,330,1.224951148033142,1.1047788858413696,0.01109565980732441
sgd,0,360,1.176781177520752,1.0862125158309937,0.013727874495089054
sgd,0,390,1.1174556016921997,1.0641884803771973,0.013827386312186718
sgd,0,420,1.061705231666565,1.045161485671997,0.013260507956147194
sgd,0,450,1.0086179971694946,1.0281343460083008,0.013022868894040585
sgd,0,480,0.9594810009002686,1.0124379396438599,0.012096547521650791
sgd,0,510,0.9194308519363403,0.9995211958885193,0.010612591169774532
sgd,0,540,0.8887515664100647,0.9895819425582886,0.009279902093112469
sgd,0,570,0.8647066950798035,0.9817363023757935,0.008290320634841919
sgd,0,600,0.8450481295585632,0.9753302335739136,0.0075503503903746605
sgd,0,630,0.828434944152832,0.9700586795806885,0.006975208409130573
sgd,0,660,0.8140210509300232,0.9657365083694458,0.006526633631438017
sgd,0,690,0.801204264163971,0.962208092212677,0.0061812628991901875
sgd,0,720,0.7895621657371521,0.9593450427055359,0.005908892024308443
sgd,0,750,0.7788363099098206,0.9570531249046326,0.005677280481904745
sgd,0,780,0.7688871622085571,0.9552654027938843,0.005466175731271505
sgd,0,810,0.7596293687820435,0.9539257287979126,0.005269924644380808
sgd,0,840,0.750990629196167,0.9529790282249451,0.005088481120765209
sgd,0,870,0.7429069876670837,0.9523696899414062,0.004919080063700676
sgd,0,900,0.7353327870368958,0.9520450830459595,0.004755325615406036
sgd,0,930,0.7282439470291138,0.9519563317298889,0.004590898286551237
sgd,0,960,0.7216311097145081,0.9520567059516907,0.004422812256962061
sgd,0,990,0.7154868245124817,0.9522995948791504,0.004252035170793533
sgd,0,1020,0.7097970843315125,0.9526398181915283,0.004082029685378075
sgd,0,1050,0.7045380473136902,0.9530362486839294,0.0039167245849967
sgd,0,1080,0.6996782422065735,0.9534550309181213,0.003759094513952732
sgd,0,1110,0.6951826810836792,0.9538711905479431,0.003610694082453847
sgd,0,1140,0.691016435623169,0.9542683362960815,0.0034718795213848352
sgd,0,1170,0.6871470212936401,0.9546379446983337,0.00334226805716753
